frame,timestamp,camera,class,local_id,confidence,x1,y1,x2,y2
31,1.03,FL,player,3,0.84,1495,390,1575,551
31,1.03,FL,player,5,0.76,463,392,521,559
31,1.03,FL,player,7,0.78,277,427,368,577
31,1.03,FL,player,8,0.73,609,385,654,533
31,1.03,FL,player,9,0.75,510,382,584,573
31,1.03,FL,player,10,0.66,571,389,628,555
32,1.07,FL,player,2,0.89,217,522,354,751
32,1.07,FL,player,3,0.84,1499,391,1578,552
32,1.07,FL,player,5,0.75,464,393,521,559
32,1.07,FL,player,7,0.69,272,426,365,577
32,1.07,FL,player,8,0.71,608,385,654,533
32,1.07,FL,player,9,0.74,510,384,583,573
32,1.07,FL,player,10,0.65,570,389,626,556
32,1.07,FL,player,24,0.51,313,367,381,520
33,1.1,FL,player,2,0.89,221,522,358,751
33,1.1,FL,player,3,0.83,1500,392,1579,553
33,1.1,FL,player,5,0.75,464,393,521,558
33,1.1,FL,player,7,0.51,267,425,361,576
33,1.1,FL,player,8,0.71,608,385,653,532
33,1.1,FL,player,9,0.73,510,390,581,573
33,1.1,FL,player,10,0.64,565,390,623,556
33,1.1,FL,player,24,0.55,311,366,381,521
33,1.1,FL,ball,-1,0.58,1318,529,1339,551
34,1.13,FL,player,2,0.88,226,521,362,751
34,1.13,FL,player,3,0.84,1502,392,1580,555
34,1.13,FL,player,5,0.75,465,393,522,558
34,1.13,FL,player,8,0.7,607,384,653,532
34,1.13,FL,player,9,0.67,510,391,581,573
34,1.13,FL,player,10,0.62,561,389,621,556
34,1.13,FL,player,24,0.56,310,366,381,522
34,1.13,FL,player,34,0.55,579,386,623,555
35,1.17,FL,player,2,0.88,230,521,365,751
35,1.17,FL,player,3,0.85,1503,393,1582,556
35,1.17,FL,player,5,0.74,465,393,522,558
35,1.17,FL,player,8,0.67,607,384,652,531
35,1.17,FL,player,9,0.66,509,393,579,573
35,1.17,FL,player,10,0.56,558,389,619,555
35,1.17,FL,player,24,0.54,308,366,378,524
35,1.17,FL,player,34,0.57,581,387,625,554
36,1.2,FL,player,2,0.88,234,520,367,751
36,1.2,FL,player,3,0.84,1504,392,1584,559
36,1.2,FL,player,5,0.74,465,393,522,558
36,1.2,FL,player,8,0.66,606,384,653,533
36,1.2,FL,player,9,0.68,508,392,580,575
36,1.2,FL,player,10,0.56,560,388,622,554
36,1.2,FL,player,24,0.52,306,366,376,525
36,1.2,FL,player,34,0.57,581,385,626,554
37,1.23,FL,player,2,0.88,238,519,369,751
37,1.23,FL,player,3,0.86,1506,392,1588,562
37,1.23,FL,player,5,0.72,465,393,521,558
37,1.23,FL,player,8,0.65,602,384,649,534
37,1.23,FL,player,9,0.68,507,394,579,575
37,1.23,FL,player,24,0.51,304,366,374,526
37,1.23,FL,player,34,0.59,581,387,625,553
38,1.27,FL,player,2,0.86,242,519,371,751
38,1.27,FL,player,3,0.86,1507,393,1590,563
38,1.27,FL,player,5,0.73,465,393,521,558
38,1.27,FL,player,8,0.64,598,383,647,534
38,1.27,FL,player,9,0.75,507,396,579,575
38,1.27,FL,player,24,0.53,303,366,372,527
38,1.27,FL,player,34,0.62,580,388,624,552
39,1.3,FL,player,2,0.85,246,517,373,751
39,1.3,FL,player,3,0.86,1508,393,1593,565
39,1.3,FL,player,5,0.72,466,394,522,558
39,1.3,FL,player,8,0.66,599,383,648,533
39,1.3,FL,player,9,0.71,507,397,579,575
39,1.3,FL,player,24,0.55,301,365,369,527
39,1.3,FL,player,34,0.62,578,388,622,550
40,1.33,FL,player,2,0.84,250,516,374,751
40,1.33,FL,player,3,0.88,1509,394,1595,566
40,1.33,FL,player,5,0.7,466,394,522,558
40,1.33,FL,player,8,0.66,597,383,648,534
40,1.33,FL,player,9,0.59,506,398,578,575
40,1.33,FL,player,24,0.56,300,366,366,527
40,1.33,FL,player,34,0.63,578,388,623,550
41,1.37,FL,player,2,0.86,253,515,375,751
41,1.37,FL,player,3,0.87,1510,394,1597,567
41,1.37,FL,player,5,0.71,465,394,520,557
41,1.37,FL,player,8,0.68,599,383,650,532
41,1.37,FL,player,9,0.61,503,399,574,576
41,1.37,FL,player,24,0.55,300,365,365,527
41,1.37,FL,player,34,0.61,578,389,623,549
41,1.37,FL,player,42,0.51,531,376,581,556
42,1.4,FL,player,2,0.86,260,515,378,751
42,1.4,FL,player,3,0.88,1511,395,1600,570
42,1.4,FL,player,5,0.69,466,394,521,558
42,1.4,FL,player,8,0.68,598,383,650,533
42,1.4,FL,player,24,0.53,301,365,366,526
42,1.4,FL,player,34,0.56,578,389,623,550
42,1.4,FL,player,42,0.59,531,377,581,556
42,1.4,FL,player,22,0.64,503,401,549,575
43,1.43,FL,player,2,0.87,267,515,383,750
43,1.43,FL,player,3,0.89,1511,394,1603,572
43,1.43,FL,player,5,0.65,467,394,522,560
43,1.43,FL,player,8,0.67,598,383,650,533
43,1.43,FL,player,9,0.62,499,401,569,575
43,1.43,FL,player,24,0.52,303,365,367,527
43,1.43,FL,player,34,0.58,578,389,625,551
43,1.43,FL,player,42,0.65,532,377,582,555
44,1.47,FL,player,2,0.86,276,515,392,750
44,1.47,FL,player,3,0.88,1512,395,1605,573
44,1.47,FL,player,5,0.63,467,394,521,559
44,1.47,FL,player,8,0.68,597,383,650,533
44,1.47,FL,player,9,0.6,498,400,569,576
44,1.47,FL,player,24,0.56,303,365,367,527
44,1.47,FL,player,34,0.51,580,386,626,549
44,1.47,FL,player,42,0.65,537,378,585,546
45,1.5,FL,player,2,0.85,286,514,402,750
45,1.5,FL,player,3,0.89,1515,394,1609,573
45,1.5,FL,player,5,0.65,467,394,520,557
45,1.5,FL,player,8,0.68,597,383,650,533
45,1.5,FL,player,9,0.61,496,395,567,576
45,1.5,FL,player,24,0.57,301,365,365,527
45,1.5,FL,player,34,0.54,580,387,627,549
45,1.5,FL,player,42,0.61,536,378,584,543
46,1.53,FL,player,2,0.86,292,514,409,750
46,1.53,FL,player,3,0.88,1518,395,1612,573
46,1.53,FL,player,5,0.65,467,394,519,556
46,1.53,FL,player,8,0.7,595,382,649,533
46,1.53,FL,player,9,0.64,493,397,564,577
46,1.53,FL,player,24,0.58,301,366,366,527
46,1.53,FL,player,34,0.47,581,388,627,549
46,1.53,FL,player,42,0.59,535,378,584,547
47,1.57,FL,player,2,0.86,293,515,412,751
47,1.57,FL,player,3,0.88,1521,396,1617,573
47,1.57,FL,player,5,0.61,467,394,519,557
47,1.57,FL,player,8,0.7,593,382,648,533
47,1.57,FL,player,9,0.66,491,397,560,576
47,1.57,FL,player,24,0.56,301,365,365,527
47,1.57,FL,player,42,0.59,535,380,584,544
48,1.6,FL,player,2,0.85,291,514,411,751
48,1.6,FL,player,3,0.84,1527,397,1622,573
48,1.6,FL,player,5,0.56,467,395,518,557
48,1.6,FL,player,8,0.67,593,382,649,532
48,1.6,FL,player,9,0.65,490,399,557,575
48,1.6,FL,player,24,0.56,300,365,365,526
48,1.6,FL,player,42,0.54,531,379,581,545
49,1.63,FL,player,2,0.81,291,514,411,750
49,1.63,FL,player,3,0.83,1531,397,1625,572
49,1.63,FL,player,8,0.69,592,382,649,532
49,1.63,FL,player,9,0.72,487,399,554,575
49,1.63,FL,player,24,0.57,300,365,365,526
49,1.63,FL,player,34,0.56,572,388,621,548
49,1.63,FL,player,42,0.55,527,378,578,546
50,1.67,FL,player,2,0.81,294,513,414,750
50,1.67,FL,player,3,0.81,1536,398,1629,572
50,1.67,FL,player,5,0.47,465,394,514,561
50,1.67,FL,player,8,0.69,592,382,650,533
50,1.67,FL,player,9,0.65,487,399,552,575
50,1.67,FL,player,24,0.56,302,365,367,526
50,1.67,FL,player,34,0.6,571,387,621,548
50,1.67,FL,player,42,0.57,529,380,579,544
51,1.7,FL,player,2,0.86,301,514,419,750
51,1.7,FL,player,3,0.78,1539,398,1631,571
51,1.7,FL,player,8,0.66,592,382,651,533
51,1.7,FL,player,9,0.61,486,397,551,575
51,1.7,FL,player,24,0.59,303,365,367,526
51,1.7,FL,player,34,0.6,572,386,622,548
51,1.7,FL,player,42,0.6,528,381,578,543
52,1.74,FL,player,2,0.86,303,514,420,748
52,1.74,FL,player,3,0.79,1543,398,1635,572
52,1.74,FL,player,8,0.67,592,382,651,533
52,1.74,FL,player,9,0.59,484,396,549,574
52,1.74,FL,player,24,0.6,304,366,368,526
52,1.74,FL,player,34,0.58,572,386,623,548
52,1.74,FL,player,42,0.58,523,379,576,551
53,1.77,FL,player,2,0.88,305,513,419,746
53,1.77,FL,player,3,0.76,1547,398,1638,572
53,1.77,FL,player,8,0.67,589,382,649,533
53,1.77,FL,player,9,0.62,483,395,548,574
53,1.77,FL,player,24,0.59,304,366,367,526
53,1.77,FL,player,34,0.57,573,385,624,548
53,1.77,FL,player,42,0.58,524,379,577,547
54,1.8,FL,player,2,0.88,308,511,420,742
54,1.8,FL,player,3,0.75,1550,399,1642,574
