frame,timestamp,camera,class,local_id,confidence,x1,y1,x2,y2
17,0.57,NL,player,7,0.78,37,392,285,643
17,0.57,NL,player,8,0.51,592,0,655,77
17,0.57,NL,player,10,0.58,549,0,600,78
17,0.57,NL,player,9,0.57,1426,0,1482,76
18,0.6,NL,player,2,0.81,1585,0,1746,227
18,0.6,NL,player,3,0.66,321,85,444,257
18,0.6,NL,player,5,0.46,441,0,514,107
18,0.6,NL,player,6,0.69,225,67,319,236
18,0.6,NL,player,7,0.82,43,405,279,643
18,0.6,NL,player,8,0.59,593,0,655,78
18,0.6,NL,player,10,0.63,549,0,600,78
18,0.6,NL,player,13,0.46,379,2,426,88
18,0.6,NL,player,9,0.61,1426,0,1484,78
19,0.63,NL,player,2,0.81,1585,0,1746,227
19,0.63,NL,player,3,0.68,320,84,445,257
19,0.63,NL,player,5,0.52,430,0,504,107
19,0.63,NL,player,6,0.68,225,67,319,236
19,0.63,NL,player,7,0.79,44,411,277,643
19,0.63,NL,player,8,0.62,594,0,655,78
19,0.63,NL,player,10,0.63,549,0,600,78
19,0.63,NL,player,9,0.57,1426,0,1485,80
19,0.63,NL,player,1,0.62,940,536,1113,762
20,0.67,NL,player,2,0.81,1585,0,1746,227
20,0.67,NL,player,3,0.58,324,83,449,255
20,0.67,NL,player,5,0.56,427,1,500,108
20,0.67,NL,player,6,0.67,225,67,319,236
20,0.67,NL,player,7,0.83,46,414,276,643
20,0.67,NL,player,8,0.6,595,0,655,78
20,0.67,NL,player,10,0.57,550,0,600,78
20,0.67,NL,player,9,0.6,1426,0,1486,81
21,0.7,NL,player,2,0.81,1585,0,1746,227
21,0.7,NL,player,3,0.68,326,82,451,254
21,0.7,NL,player,4,0.64,120,339,328,576
21,0.7,NL,player,5,0.47,421,2,495,108
21,0.7,NL,player,6,0.67,225,67,319,236
21,0.7,NL,player,7,0.84,45,416,276,643
21,0.7,NL,player,8,0.55,595,0,654,77
21,0.7,NL,player,10,0.51,550,0,601,77
21,0.7,NL,player,9,0.54,1427,0,1488,83
21,0.7,NL,player,1,0.71,966,549,1151,790
22,0.73,NL,player,2,0.81,1585,0,1746,227
22,0.73,NL,player,3,0.76,339,81,462,254
22,0.73,NL,player,4,0.67,118,344,319,572
22,0.73,NL,player,6,0.68,225,68,319,236
22,0.73,NL,player,7,0.82,45,413,279,643
22,0.73,NL,player,8,0.49,596,0,652,76
22,0.73,NL,player,10,0.47,551,0,602,77
22,0.73,NL,player,9,0.45,1429,0,1490,83
