frame,timestamp,camera,class,local_id,confidence,x1,y1,x2,y2,global_id
19,0.63,FL,player,3,0.88,1461,380,1549,551,75
19,0.63,FL,player,5,0.81,462,392,520,558,59
19,0.63,FL,player,7,0.62,310,421,395,573,-1
19,0.63,FL,player,8,0.72,612,386,657,532,-1
19,0.63,FL,player,9,0.72,511,389,582,567,28
19,0.63,FL,player,10,0.67,573,395,629,554,-1
20,0.67,FL,player,3,0.88,1461,380,1550,553,75
20,0.67,FL,player,5,0.8,462,392,520,558,59
20,0.67,FL,player,7,0.69,305,422,388,573,-1
20,0.67,FL,player,8,0.73,612,386,657,532,-1
20,0.67,FL,player,9,0.71,511,387,582,567,28
20,0.67,FL,player,10,0.67,573,394,630,554,-1
21,0.7,FL,player,3,0.88,1461,381,1550,554,75
21,0.7,FL,player,5,0.79,462,392,521,558,59
21,0.7,FL,player,7,0.74,301,422,384,573,-1
21,0.7,FL,player,8,0.73,611,385,657,532,-1
21,0.7,FL,player,9,0.71,511,384,584,566,28
21,0.7,FL,player,10,0.67,573,394,630,554,-1
22,0.73,FL,player,3,0.87,1461,383,1551,555,75
22,0.73,FL,player,5,0.79,462,392,521,558,59
22,0.73,FL,player,7,0.72,300,423,382,572,-1
22,0.73,FL,player,8,0.74,611,385,657,532,-1
22,0.73,FL,player,9,0.73,513,382,585,566,28
22,0.73,FL,player,10,0.68,573,393,630,555,-1
22,0.73,FL,player,24,0.49,323,364,389,522,71
23,0.77,FL,player,3,0.87,1463,385,1552,555,75
23,0.77,FL,player,5,0.77,462,392,521,558,59
23,0.77,FL,player,7,0.7,299,424,380,573,-1
23,0.77,FL,player,8,0.75,611,385,656,532,-1
23,0.77,FL,player,9,0.72,512,380,585,566,28
23,0.77,FL,player,10,0.66,572,392,629,555,-1
23,0.77,FL,player,24,0.53,323,364,390,522,71
24,0.8,FL,player,3,0.88,1465,387,1553,555,75
24,0.8,FL,player,5,0.77,462,392,521,558,59
24,0.8,FL,player,7,0.74,298,424,380,573,-1
24,0.8,FL,player,8,0.76,610,384,656,533,-1
24,0.8,FL,player,9,0.7,512,379,586,567,28
24,0.8,FL,player,10,0.66,572,391,629,555,-1
24,0.8,FL,player,24,0.52,323,364,390,522,71
25,0.83,FL,player,3,0.86,1467,388,1556,554,75
25,0.83,FL,player,5,0.81,462,392,520,558,59
25,0.83,FL,player,7,0.73,296,422,379,574,-1
25,0.83,FL,player,8,0.75,610,384,656,533,-1
25,0.83,FL,player,9,0.74,513,381,586,567,28
25,0.83,FL,player,10,0.67,572,390,629,554,-1
25,0.83,FL,player,24,0.5,322,364,389,521,71
26,0.87,FL,player,3,0.84,1471,388,1558,553,75
26,0.87,FL,player,5,0.81,462,392,521,558,59
26,0.87,FL,player,7,0.76,294,424,377,575,-1
26,0.87,FL,player,8,0.74,609,384,655,533,-1
26,0.87,FL,player,9,0.75,513,379,586,568,28
26,0.87,FL,player,10,0.69,573,390,630,554,-1
26,0.87,FL,player,24,0.52,322,364,388,520,71
27,0.9,FL,player,3,0.85,1475,388,1561,552,75
27,0.9,FL,player,5,0.79,463,392,521,558,59
27,0.9,FL,player,7,0.77,292,427,376,576,-1
27,0.9,FL,player,8,0.75,609,384,654,532,-1
27,0.9,FL,player,9,0.76,511,379,585,569,28
27,0.9,FL,player,10,0.69,574,390,630,555,-1
28,0.93,FL,player,3,0.83,1480,388,1564,551,75
28,0.93,FL,player,5,0.79,463,392,521,558,59
28,0.93,FL,player,7,0.77,289,429,374,576,-1
28,0.93,FL,player,8,0.74,608,384,653,531,-1
28,0.93,FL,player,9,0.77,511,378,585,571,28
28,0.93,FL,player,10,0.69,573,388,630,554,-1
29,0.97,FL,player,3,0.82,1485,388,1568,551,75
29,0.97,FL,player,5,0.79,464,392,522,558,59
29,0.97,FL,player,7,0.8,285,429,373,577,-1
29,0.97,FL,player,8,0.73,609,385,654,531,-1
29,0.97,FL,player,9,0.76,511,379,585,571,28
29,0.97,FL,player,10,0.67,572,388,629,554,-1
30,1.0,FL,player,3,0.83,1489,389,1571,551,75
30,1.0,FL,player,5,0.77,463,393,521,559,59
30,1.0,FL,player,7,0.69,282,428,371,577,-1
30,1.0,FL,player,8,0.73,609,385,654,533,-1
30,1.0,FL,player,9,0.74,511,385,583,572,28
30,1.0,FL,player,10,0.65,571,389,628,555,-1
31,1.03,FL,player,2,0.88,211,521,348,751,43
31,1.03,FL,player,3,0.84,1495,390,1575,551,75
31,1.03,FL,player,5,0.76,463,392,521,559,59
31,1.03,FL,player,7,0.78,277,427,368,577,-1
31,1.03,FL,player,8,0.73,609,385,654,533,-1
31,1.03,FL,player,9,0.75,510,382,584,573,28
31,1.03,FL,player,10,0.66,571,389,628,555,-1
32,1.07,FL,player,2,0.89,217,522,354,751,43
32,1.07,FL,player,3,0.84,1499,391,1578,552,75
32,1.07,FL,player,5,0.75,464,393,521,559,59
32,1.07,FL,player,7,0.69,272,426,365,577,-1
32,1.07,FL,player,8,0.71,608,385,654,533,-1
32,1.07,FL,player,9,0.74,510,384,583,573,28
32,1.07,FL,player,10,0.65,570,389,626,556,-1
32,1.07,FL,player,24,0.51,313,367,381,520,71
33,1.1,FL,player,2,0.89,221,522,358,751,43
33,1.1,FL,player,3,0.83,1500,392,1579,553,75
33,1.1,FL,player,5,0.75,464,393,521,558,59
33,1.1,FL,player,7,0.51,267,425,361,576,-1
33,1.1,FL,player,8,0.71,608,385,653,532,-1
33,1.1,FL,player,9,0.73,510,390,581,573,28
33,1.1,FL,player,10,0.64,565,390,623,556,-1
33,1.1,FL,player,24,0.55,311,366,381,521,71
33,1.1,FL,ball,-1,0.58,1318,529,1339,551,-1
34,1.13,FL,player,2,0.88,226,521,362,751,43
34,1.13,FL,player,3,0.84,1502,392,1580,555,75
34,1.13,FL,player,5,0.75,465,393,522,558,59
34,1.13,FL,player,8,0.7,607,384,653,532,-1
34,1.13,FL,player,9,0.67,510,391,581,573,28
34,1.13,FL,player,10,0.62,561,389,621,556,-1
34,1.13,FL,player,24,0.56,310,366,381,522,71
34,1.13,FL,player,34,0.55,579,386,623,555,85
35,1.17,FL,player,2,0.88,230,521,365,751,43
35,1.17,FL,player,3,0.85,1503,393,1582,556,75
35,1.17,FL,player,5,0.74,465,393,522,558,59
35,1.17,FL,player,8,0.67,607,384,652,531,-1
35,1.17,FL,player,9,0.66,509,393,579,573,28
35,1.17,FL,player,10,0.56,558,389,619,555,-1
35,1.17,FL,player,24,0.54,308,366,378,524,71
35,1.17,FL,player,34,0.57,581,387,625,554,85
36,1.2,FL,player,2,0.88,234,520,367,751,43
36,1.2,FL,player,3,0.84,1504,392,1584,559,75
36,1.2,FL,player,5,0.74,465,393,522,558,59
36,1.2,FL,player,8,0.66,606,384,653,533,-1
36,1.2,FL,player,9,0.68,508,392,580,575,28
36,1.2,FL,player,10,0.56,560,388,622,554,-1
36,1.2,FL,player,24,0.52,306,366,376,525,71
36,1.2,FL,player,34,0.57,581,385,626,554,85
37,1.23,FL,player,2,0.88,238,519,369,751,43
37,1.23,FL,player,3,0.86,1506,392,1588,562,75
37,1.23,FL,player,5,0.72,465,393,521,558,59
37,1.23,FL,player,8,0.65,602,384,649,534,-1
37,1.23,FL,player,9,0.68,507,394,579,575,28
37,1.23,FL,player,24,0.51,304,366,374,526,71
37,1.23,FL,player,34,0.59,581,387,625,553,85
38,1.27,FL,player,2,0.86,242,519,371,751,43
38,1.27,FL,player,3,0.86,1507,393,1590,563,75
38,1.27,FL,player,5,0.73,465,393,521,558,59
38,1.27,FL,player,8,0.64,598,383,647,534,-1
38,1.27,FL,player,9,0.75,507,396,579,575,28
38,1.27,FL,player,24,0.53,303,366,372,527,71
38,1.27,FL,player,34,0.62,580,388,624,552,85
39,1.3,FL,player,2,0.85,246,517,373,751,43
39,1.3,FL,player,3,0.86,1508,393,1593,565,75
39,1.3,FL,player,5,0.72,466,394,522,558,59
39,1.3,FL,player,8,0.66,599,383,648,533,-1
39,1.3,FL,player,9,0.71,507,397,579,575,28
39,1.3,FL,player,24,0.55,301,365,369,527,71
39,1.3,FL,player,34,0.62,578,388,622,550,85
40,1.33,FL,player,2,0.84,250,516,374,751,43
40,1.33,FL,player,3,0.88,1509,394,1595,566,75
40,1.33,FL,player,5,0.7,466,394,522,558,59
40,1.33,FL,player,8,0.66,597,383,648,534,-1
40,1.33,FL,player,9,0.59,506,398,578,575,28
40,1.33,FL,player,24,0.56,300,366,366,527,71
40,1.33,FL,player,34,0.63,578,388,623,550,85
41,1.37,FL,player,2,0.86,253,515,375,751,43
41,1.37,FL,player,3,0.87,1510,394,1597,567,75
41,1.37,FL,player,5,0.71,465,394,520,557,59
41,1.37,FL,player,8,0.68,599,383,650,532,-1
41,1.37,FL,player,9,0.61,503,399,574,576,28
41,1.37,FL,player,24,0.55,300,365,365,527,71
41,1.37,FL,player,34,0.61,578,389,623,549,85
41,1.37,FL,player,42,0.51,531,376,581,556,-1
42,1.4,FL,player,2,0.86,260,515,378,751,43
42,1.4,FL,player,3,0.88,1511,395,1600,570,75
42,1.4,FL,player,5,0.69,466,394,521,558,59
42,1.4,FL,player,8,0.68,598,383,650,533,-1
42,1.4,FL,player,24,0.53,301,365,366,526,71
42,1.4,FL,player,34,0.56,578,389,623,550,85
42,1.4,FL,player,42,0.59,531,377,581,556,-1
42,1.4,FL,player,22,0.64,503,401,549,575,-1
43,1.43,FL,player,2,0.87,267,515,383,750,43
43,1.43,FL,player,3,0.89,1511,394,1603,572,75
43,1.43,FL,player,5,0.65,467,394,522,560,59
43,1.43,FL,player,8,0.67,598,383,650,533,-1
43,1.43,FL,player,9,0.62,499,401,569,575,28
43,1.43,FL,player,24,0.52,303,365,367,527,71
43,1.43,FL,player,34,0.58,578,389,625,551,85
43,1.43,FL,player,42,0.65,532,377,582,555,-1
44,1.47,FL,player,2,0.86,276,515,392,750,43
44,1.47,FL,player,3,0.88,1512,395,1605,573,75
44,1.47,FL,player,5,0.63,467,394,521,559,59
44,1.47,FL,player,8,0.68,597,383,650,533,-1
44,1.47,FL,player,9,0.6,498,400,569,576,28
44,1.47,FL,player,24,0.56,303,365,367,527,71
44,1.47,FL,player,34,0.51,580,386,626,549,85
44,1.47,FL,player,42,0.65,537,378,585,546,-1
45,1.5,FL,player,2,0.85,286,514,402,750,43
45,1.5,FL,player,3,0.89,1515,394,1609,573,75
45,1.5,FL,player,5,0.65,467,394,520,557,59
45,1.5,FL,player,8,0.68,597,383,650,533,-1
45,1.5,FL,player,9,0.61,496,395,567,576,28
45,1.5,FL,player,24,0.57,301,365,365,527,71
45,1.5,FL,player,34,0.54,580,387,627,549,85
45,1.5,FL,player,42,0.61,536,378,584,543,-1
46,1.53,FL,player,2,0.86,292,514,409,750,43
46,1.53,FL,player,3,0.88,1518,395,1612,573,75
46,1.53,FL,player,5,0.65,467,394,519,556,59
46,1.53,FL,player,8,0.7,595,382,649,533,-1
46,1.53,FL,player,9,0.64,493,397,564,577,28
46,1.53,FL,player,24,0.58,301,366,366,527,71
46,1.53,FL,player,34,0.47,581,388,627,549,85
46,1.53,FL,player,42,0.59,535,378,584,547,-1
47,1.57,FL,player,2,0.86,293,515,412,751,43
47,1.57,FL,player,3,0.88,1521,396,1617,573,75
47,1.57,FL,player,5,0.61,467,394,519,557,59
47,1.57,FL,player,8,0.7,593,382,648,533,-1
47,1.57,FL,player,9,0.66,491,397,560,576,28
47,1.57,FL,player,24,0.56,301,365,365,527,71
47,1.57,FL,player,42,0.59,535,380,584,544,-1
48,1.6,FL,player,2,0.85,291,514,411,751,43
48,1.6,FL,player,3,0.84,1527,397,1622,573,75
48,1.6,FL,player,5,0.56,467,395,518,557,59
48,1.6,FL,player,8,0.67,593,382,649,532,-1
48,1.6,FL,player,9,0.65,490,399,557,575,28
48,1.6,FL,player,24,0.56,300,365,365,526,71
48,1.6,FL,player,42,0.54,531,379,581,545,-1
49,1.63,FL,player,2,0.81,291,514,411,750,43
49,1.63,FL,player,3,0.83,1531,397,1625,572,75
49,1.63,FL,player,8,0.69,592,382,649,532,-1
49,1.63,FL,player,9,0.72,487,399,554,575,28
49,1.63,FL,player,24,0.57,300,365,365,526,71
49,1.63,FL,player,34,0.56,572,388,621,548,85
49,1.63,FL,player,42,0.55,527,378,578,546,-1
50,1.67,FL,player,2,0.81,294,513,414,750,43
50,1.67,FL,player,3,0.81,1536,398,1629,572,75
50,1.67,FL,player,5,0.47,465,394,514,561,59
50,1.67,FL,player,8,0.69,592,382,650,533,-1
50,1.67,FL,player,9,0.65,487,399,552,575,28
50,1.67,FL,player,24,0.56,302,365,367,526,71
50,1.67,FL,player,34,0.6,571,387,621,548,85
50,1.67,FL,player,42,0.57,529,380,579,544,-1
51,1.7,FL,player,2,0.86,301,514,419,750,43
51,1.7,FL,player,3,0.78,1539,398,1631,571,75
51,1.7,FL,player,8,0.66,592,382,651,533,-1
51,1.7,FL,player,9,0.61,486,397,551,575,28
51,1.7,FL,player,24,0.59,303,365,367,526,71
51,1.7,FL,player,34,0.6,572,386,622,548,85
51,1.7,FL,player,42,0.6,528,381,578,543,-1
52,1.74,FL,player,2,0.86,303,514,420,748,43
52,1.74,FL,player,3,0.79,1543,398,1635,572,75
52,1.74,FL,player,8,0.67,592,382,651,533,-1
52,1.74,FL,player,9,0.59,484,396,549,574,28
52,1.74,FL,player,24,0.6,304,366,368,526,71
52,1.74,FL,player,34,0.58,572,386,623,548,85
52,1.74,FL,player,42,0.58,523,379,576,551,-1
53,1.77,FL,player,2,0.88,305,513,419,746,43
53,1.77,FL,player,3,0.76,1547,398,1638,572,75
53,1.77,FL,player,8,0.67,589,382,649,533,-1
53,1.77,FL,player,9,0.62,483,395,548,574,28
53,1.77,FL,player,24,0.59,304,366,367,526,71
53,1.77,FL,player,34,0.57,573,385,624,548,85
53,1.77,FL,player,42,0.58,524,379,577,547,-1
54,1.8,FL,player,2,0.88,308,511,420,742,43
54,1.8,FL,player,3,0.75,1550,399,1642,574,75
54,1.8,FL,player,8,0.7,587,382,648,533,-1
54,1.8,FL,player,9,0.65,481,394,546,574,28
54,1.8,FL,player,24,0.6,305,366,367,525,71
54,1.8,FL,player,34,0.53,574,386,624,548,85
54,1.8,FL,player,42,0.6,521,378,575,549,-1
55,1.84,FL,player,2,0.86,312,510,421,735,43
55,1.84,FL,player,3,0.82,1552,399,1646,579,75
55,1.84,FL,player,8,0.69,587,383,648,534,-1
55,1.84,FL,player,9,0.72,479,394,546,575,28
55,1.84,FL,player,24,0.59,305,366,367,527,71
55,1.84,FL,player,34,0.53,574,386,624,548,85
55,1.84,FL,player,42,0.61,520,378,575,548,-1
56,1.87,FL,player,2,0.87,314,510,425,739,43
56,1.87,FL,player,3,0.86,1557,400,1654,582,75
56,1.87,FL,player,8,0.69,586,383,648,534,-1
56,1.87,FL,player,9,0.77,479,395,546,575,28
56,1.87,FL,player,24,0.6,306,366,368,527,71
56,1.87,FL,player,34,0.54,574,387,624,549,85
56,1.87,FL,player,42,0.61,519,377,574,547,-1
57,1.9,FL,player,2,0.89,316,509,429,741,43
57,1.9,FL,player,3,0.85,1560,400,1659,585,75
57,1.9,FL,player,8,0.69,585,383,649,534,-1
57,1.9,FL,player,9,0.76,479,395,546,575,28
57,1.9,FL,player,24,0.58,306,366,367,526,71
57,1.9,FL,player,34,0.52,574,386,624,549,85
57,1.9,FL,player,42,0.62,522,379,577,548,-1
58,1.94,FL,player,2,0.88,320,509,433,740,43
58,1.94,FL,player,3,0.87,1562,402,1662,588,75
58,1.94,FL,player,8,0.68,585,382,649,534,-1
58,1.94,FL,player,9,0.74,479,395,546,575,28
58,1.94,FL,player,24,0.57,305,367,365,523,71
58,1.94,FL,player,34,0.52,573,385,624,548,85
58,1.94,FL,player,42,0.63,522,380,578,548,-1
59,1.97,FL,player,2,0.87,326,509,439,739,43
59,1.97,FL,player,3,0.88,1563,402,1664,589,75
59,1.97,FL,player,8,0.67,584,383,649,535,-1
59,1.97,FL,player,9,0.72,477,395,545,574,28
59,1.97,FL,player,24,0.57,304,368,364,524,71
